Name,review,Sentiment
Amazon Customer,"I’m really happy with this Symbol Oxford shirt. I ordered this shirt for my brother.It’s comfortable, breathable and good in looks.Fitting Is perfect as per size chart mentioned .It works well for both casual and semi-formal.Overall, a solid and stylish shirt for everyday wear! The quality of the shirt is very amazing also the packaging is very decent and attractive .The color black doesn't fade or shrink its very comfortable and amazing decent style shirt.Definitely try this",Positive Review
Amazon Customer,"Product quality and look are good. The sleeve length of this shirt of medium blue colour though is too long, longer than the other colours (white, black, wine/maroon, green) of the same shirt type/model.",Positive Review
shreyash patil,"I’m really happy with this Symbol Oxford shirt. It’s comfortable, breathable, and stays fresh all day, even in warm weather. The regular fit is just right—not too tight or too loose. It works well for both casual and semi-formal settings. Overall, a solid and stylish shirt for everyday wear!",Positive Review
Tanu,It’s worst quality,Negative Review
Tanu,Sizing was as expected and material is very good. Worth the buy !!,Negative Review
Akhil,"This shirt fits making it suitable for professional settings. The tailoring is slim with ample room for movement, offering a snug fit around the shoulders and chest. The fabric has a soft feel. After multiple washes, the shirt holds up well.The stitching remains solid and the buttons [stay intact over time. It appears built to last for frequent professional use",Negative Review
Javed Ahmad,Fitting is very good but quality is not so good. Fabric is not so good,Negative Review
Symbol Premium Men's Allday Fresh Oxford Shirt,The fit and material is great.The fibre is stretchable and has a premium feel to it.Color also not fade while washing.A good product,Negative Review
Amazon Customer,"I’m really happy with this Symbol Oxford shirt. I ordered this shirt for my brother.It’s comfortable, breathable and good in looks.Fitting Is perfect as per size chart mentioned .It works well for both casual and semi-formal.Overall, a solid and stylish shirt for everyday wear! The quality of the shirt is very amazing also the packaging is very decent and attractive .The color black doesn't fade or shrink its very comfortable and amazing decent style shirt.Definitely try this",Positive Review
Amazon Customer,"Product quality and look are good. The sleeve length of this shirt of medium blue colour though is too long, longer than the other colours (white, black, wine/maroon, green) of the same shirt type/model.",Positive Review
shreyash patil,"I’m really happy with this Symbol Oxford shirt. It’s comfortable, breathable, and stays fresh all day, even in warm weather. The regular fit is just right—not too tight or too loose. It works well for both casual and semi-formal settings. Overall, a solid and stylish shirt for everyday wear!",Positive Review
Tanu,It’s worst quality,Negative Review
Tanu,Sizing was as expected and material is very good. Worth the buy !!,Negative Review
Akhil,"This shirt fits making it suitable for professional settings. The tailoring is slim with ample room for movement, offering a snug fit around the shoulders and chest. The fabric has a soft feel. After multiple washes, the shirt holds up well.The stitching remains solid and the buttons [stay intact over time. It appears built to last for frequent professional use",Negative Review
Javed Ahmad,Fitting is very good but quality is not so good. Fabric is not so good,Negative Review
Amazon Customer,"MuscleBlaze Creatine Monohydrate is pure, micronized, and unflavored, making it easy to mix. I’ve noticed better strength, endurance, and recovery in my workouts. It dissolves well, has no fillers, and offers great value for money. Just stay hydrated and be consistent for the best results. Highly recommended!",Positive Review
Amazon Customer,"The product is good I would say. I am sure you are going to the gym and stay motivated everytime. MB creative really boosts your motivation to next level. It dissolves easily and easy to consume. Well I personally got the results , muscle gained and helped in bulking. If you look at the vitamin content it doesnot any any extra unwanted chemicals so I can recommend you to order and try.",Positive Review
Ankit Chauhan,Good productTestament to muscle blaze brand.Mixes well with water and aftwr loading I saw instantaneous results!Some pwrformancr enhancements ans my muscles became fuller and my weight increased by around 3 kgs.Good packaging!,Positive Review
Riddick Saikia,"I've been using MuscleBlaze Creatine Monohydrate for a while now, and it has definitely made a noticeable difference in my workouts. The quality of the creatine is top-notch—it's micronized, which means it dissolves easily in water without leaving any grainy residue.",Positive Review
Amazon Customer,Good quality,Positive Review
Prasoon Prakash,"The media could not be loaded. This review is in english, for hindi go to the video.I ordered pre workout,creatine & whey from MB. Can't tell about creatine and whey yet coz its the 1st day. But the pre-workout works, it does what it says. Your reps can be doubled or tripled from the very first day. But don't go for more than 1 scoop in 24 hours.Pro - it WORKSCon - u might feel h!gh or a buzz 30-40 after taking the pre-workout, but its not harmful,its just because of the caffine. Drink plenty of water.Will update my review in a few days,after using the creatine for a while. All the best fellas .Get in touch via insta-@indianPesticide",Positive Review
Definitely a good purchase,It is good and value for money product. But taste in not good it feels unpleasant,Negative Review
shailesh,"Very nice pen ,write very nice clear and special and fine ok it's good and it's special and very creative and special",Positive Review
Ayush sharma,Good taste and quality,Negative Review
"I have purchased many ,2 for myself,and many for others ,as gift ,as I think it is very nice product ,it helps lot to improve study,I have got benefit by using it a lot ,it improved my study a lot ,thanks 🙏",Doesn’t workI should know that real creatine cant be cheap like this!,Positive Review
Muhammad Sameer Shahid,"I wouldn’t recommend it. Doesn’t even dissolve in pure water, and has a bitter taste. As a gym trainer I can also confidently it’s not effective what so ever",Positive Review
Emrah seker,I received my order with broken box inside package and I cannot return it.,Negative Review
Amazon Customer,"MuscleBlaze Creatine Monohydrate is pure, micronized, and unflavored, making it easy to mix. I’ve noticed better strength, endurance, and recovery in my workouts. It dissolves well, has no fillers, and offers great value for money. Just stay hydrated and be consistent for the best results. Highly recommended!",Positive Review
Amazon Customer,"The product is good I would say. I am sure you are going to the gym and stay motivated everytime. MB creative really boosts your motivation to next level. It dissolves easily and easy to consume. Well I personally got the results , muscle gained and helped in bulking. If you look at the vitamin content it doesnot any any extra unwanted chemicals so I can recommend you to order and try.",Positive Review
Ankit Chauhan,Good productTestament to muscle blaze brand.Mixes well with water and aftwr loading I saw instantaneous results!Some pwrformancr enhancements ans my muscles became fuller and my weight increased by around 3 kgs.Good packaging!,Positive Review
Riddick Saikia,"I've been using MuscleBlaze Creatine Monohydrate for a while now, and it has definitely made a noticeable difference in my workouts. The quality of the creatine is top-notch—it's micronized, which means it dissolves easily in water without leaving any grainy residue.",Positive Review
Amazon Customer,Good quality,Positive Review
Prasoon Prakash,"The media could not be loaded. This review is in english, for hindi go to the video.I ordered pre workout,creatine & whey from MB. Can't tell about creatine and whey yet coz its the 1st day. But the pre-workout works, it does what it says. Your reps can be doubled or tripled from the very first day. But don't go for more than 1 scoop in 24 hours.Pro - it WORKSCon - u might feel h!gh or a buzz 30-40 after taking the pre-workout, but its not harmful,its just because of the caffine. Drink plenty of water.Will update my review in a few days,after using the creatine for a while. All the best fellas .Get in touch via insta-@indianPesticide",Positive Review
Definitely a good purchase,It is good and value for money product. But taste in not good it feels unpleasant,Negative Review
shailesh,"Very nice pen ,write very nice clear and special and fine ok it's good and it's special and very creative and special",Positive Review
Ayush sharma,Good taste and quality,Negative Review
"I have purchased many ,2 for myself,and many for others ,as gift ,as I think it is very nice product ,it helps lot to improve study,I have got benefit by using it a lot ,it improved my study a lot ,thanks 🙏",Doesn’t workI should know that real creatine cant be cheap like this!,Positive Review
Muhammad Sameer Shahid,"I wouldn’t recommend it. Doesn’t even dissolve in pure water, and has a bitter taste. As a gym trainer I can also confidently it’s not effective what so ever",Positive Review
Emrah seker,I received my order with broken box inside package and I cannot return it.,Negative Review
